No. Moves,FirstMove,ProbCaptureFirst30,WhiteElo,BlackElo,TimeControl,Result,Fen,Eval5,Eval12
31,d4,0.2413793103448276,1856,1930,180+0,1-0,r1bqkb1r/pppppppp/2n2n2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 2 3,-68,+67
28,e4,0.1724137931034483,1571,1731,60+0,1-0,rnbqkbnr/pp1p1ppp/4p3/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,-2,+32
59,e4,0.13793103448275862,1777,1823,300+5,1/2-1/2,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq - 0 3,-15,+9
38,e4,0.20689655172413793,1797,1754,300+0,1-0,rnbqkbnr/p2ppppp/1p6/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-69,+81
62,e4,0.3448275862068966,1601,1494,600+0,1/2-1/2,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-15,+6
44,c4,0.3103448275862069,1255,1387,300+0,0-1,rnbqkb1r/pppp1ppp/5n2/4p3/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq - 2 3,+12,-141
46,e4,0.20689655172413793,1547,1444,420+0,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-26,+107
25,b3,0.2413793103448276,1698,1705,180+0,0-1,rnbqkbnr/1pp1pppp/p2p4/8/8/1P4P1/P1PPPPBP/RNBQK1NR b KQkq - 1 3,-44,+44
40,e4,0.1724137931034483,1383,1135,1200+0,0-1,rnbqkb1r/pppppppp/8/3nP3/2B5/8/PPPP1PPP/RNBQK1NR b KQkq - 2 3,-22,+50
23,c4,0.27586206896551724,1780,1815,180+0,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3,-19,+42
39,e3,0.06896551724137931,2033,2154,60+0,0-1,rnbqkb1r/pppppp1p/5np1/8/8/4P1P1/PPPP1PBP/RNBQK1NR b KQkq - 1 3,+22,+51
22,h3,0.3103448275862069,2166,1879,60+0,1-0,rnbqkbnr/ppp2ppp/3p4/4P3/8/7P/PPP1PPP1/RNBQKBNR b KQkq - 0 3,-17,+25
21,d4,0.06896551724137931,2239,2114,180+0,1-0,rnbqkb1r/ppppp1pp/5n2/5p2/3P4/6P1/PPP1PPBP/RNBQK1NR b KQkq - 2 3,-65,+59
27,c4,0.13793103448275862,1668,1735,120+0,1-0,rnbqkb1r/pppppp1p/5np1/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,-22,+47
33,e4,0.13793103448275862,1725,1702,900+8,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-24,+26
35,d4,0.10344827586206896,2054,1947,180+0,1-0,rnbqkb1r/ppp1pppp/3p1n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 2 3,-57,+77
21,e4,0.20689655172413793,1464,1391,480+0,1-0,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P4/PPPN1PPP/R1BQKBNR b KQkq - 2 3,+25,+60
13,d4,0.2916666666666667,1385,1498,180+5,0-1,rnbqkbnr/ppp1pppp/8/8/2pP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,-42,+64
26,e4,0.1724137931034483,1473,1522,300+0,0-1,rnbqkb1r/ppp1pppp/3p1n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,-48,+80
15,d4,0.25,1491,1649,900+10,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,-20,+18
36,f4,0.06896551724137931,1633,1654,300+0,1-0,rnbqkbnr/ppp2ppp/4p3/3p4/5P2/1P3N2/P1PPP1PP/RNBQKB1R b KQkq - 0 3,+41,+45
50,d4,0.20689655172413793,2046,2102,60+0,0-1,rnbqkbnr/pp2pppp/2p5/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,-32,+53
60,e4,0.27586206896551724,1347,1186,420+0,0-1,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3,-66,+92
29,e4,0.20689655172413793,1577,1074,60+1,1-0,rnbqkbnr/ppp1p1pp/3p4/5P2/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,-90,+35
43,e4,0.20689655172413793,1369,1369,240+4,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,-18,-8
65,e4,0.27586206896551724,1814,1851,600+0,1-0,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,-36,+85
20,b3,0.1724137931034483,1743,2029,60+0,0-1,rnbqkbnr/pp1p1ppp/4p3/2p5/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq - 0 3,-19,-14
19,e4,0.3103448275862069,1338,1425,120+5,0-1,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,-3,+197
44,c4,0.06896551724137931,1592,1779,300+0,1-0,rnbqkb1r/pppppp1p/5np1/8/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3,-25,+37
32,e4,0.3103448275862069,1642,1727,60+0,0-1,rnb1kbnr/ppp1pppp/3q4/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-112,+66
47,e4,0.41379310344827586,1533,1408,300+10,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-24,+82
26,e4,0.2413793103448276,1756,1519,300+0,0-1,rnbqkbnr/pp2pppp/3p4/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,-15,-146
32,d4,0.13793103448275862,1708,1629,120+0,1-0,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/1P6/PBP1PPPP/RN1QKBNR b KQkq - 1 3,+16,+20
28,d4,0.13793103448275862,1891,1789,180+2,1-0,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-39,+53
18,d4,0.2413793103448276,1845,1716,300+2,1-0,rnbqkbnr/pppp2pp/5P2/8/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 3,-101,+132
27,d4,0.2413793103448276,1711,1725,300+7,1-0,rnbqkbnr/pppp2pp/4p3/5p2/3P1B2/P7/1PP1PPPP/RN1QKBNR b KQkq - 0 3,-44,+114
19,d4,0.27586206896551724,1654,1653,180+0,0-1,rnbqkbnr/pp1p1ppp/4P3/2p5/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 3,-40,+14
21,e4,0.2413793103448276,2167,1654,60+0,1-0,rnbqkb1r/ppppp1pp/5n2/5P2/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-145,+230
16,e4,0.2413793103448276,1179,1330,60+0,1-0,rnb1kbnr/pppp1ppp/5q2/4p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 3 3,+22,+236
25,e4,0.1724137931034483,1096,1322,600+10,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/P4N2/1PPP1PPP/RNBQKB1R b KQkq - 0 3,+19,+75
55,c4,0.27586206896551724,2081,1818,60+0,1-0,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 3,-47,+103
32,e4,0.3103448275862069,1419,1677,2700+2,0-1,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3,-64,+36
19,d4,0.3448275862068966,1852,1788,0+1,1-0,rn1qkbnr/ppp1pppp/8/3p1b2/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,+2,-191
39,d4,0.20689655172413793,1712,1612,60+0,0-1,rnbqkb1r/ppp1pppp/3p1n2/6B1/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,-20,+68
36,Nc3,0.2413793103448276,1584,1635,60+0,0-1,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 1 3,+28,+127
52,e4,0.2413793103448276,1422,1205,300+0,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/P4N2/1PPP1PPP/RNBQKB1R b KQkq - 0 3,+18,+39
12,e4,0.3333333333333333,1625,1529,300+3,0-1,rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-39,+104
52,e4,0.20689655172413793,1999,1763,60+0,1-0,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/3P1P2/PPP3PP/RNBQKBNR b KQkq - 0 3,+62,+40
42,d4,0.13793103448275862,1614,1521,180+0,0-1,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,-31,+194
25,e4,0.20689655172413793,1791,1615,180+2,1-0,rnbqkbnr/pp1p1ppp/4p3/2pP4/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-60,+121
38,d4,0.13793103448275862,1590,1659,180+2,0-1,r1bqkbnr/pppnpppp/3p4/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 2 3,-44,+113
24,e4,0.3793103448275862,1411,1605,480+0,1-0,rnbqk1nr/pppp1ppp/8/2b1p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq - 0 3,+13,+86
34,b3,0.1724137931034483,1312,1669,180+2,0-1,rnbqkbnr/ppp2ppp/3p4/4p3/8/1P4P1/PBPPPP1P/RN1QKBNR b KQkq - 0 3,+17,-33
20,e4,0.2413793103448276,1455,1519,180+2,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-5,-14
42,d4,0.13793103448275862,1170,1198,900+2,0-1,rnbqkbnr/ppp2ppp/3pp3/3P4/2P5/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,-5,-23
29,d4,0.06896551724137931,1410,1442,60+2,0-1,rnbqkb1r/ppp1pppp/3p1n2/8/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 1 3,-32,+131
64,d4,0.20689655172413793,1758,1876,60+0,0-1,rnbqkbnr/pppp1ppp/8/8/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-21,-60
28,d4,0.3793103448275862,2071,1640,60+0,1-0,rnbqkbnr/ppp1pppp/8/8/2pP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,+6,+59
11,d4,0.3157894736842105,1639,1215,180+2,1-0,r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 3,-38,+453
31,e4,0.13793103448275862,2029,2171,60+0,1-0,rnbqkbnr/ppp1pppp/8/8/3Pp3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,+51,-54
58,e4,0.06896551724137931,1900,1922,60+0,0-1,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/P1N5/1PPP1PPP/R1BQKBNR b KQkq - 0 3,+14,+6
58,b3,0.2413793103448276,1694,1824,600+0,0-1,rn1qkbnr/ppp1pppp/8/3p1b2/8/1P3N2/PBPPPPPP/RN1QKB1R b KQkq - 3 3,+17,-16
44,e4,0.13793103448275862,1564,1496,300+0,0-1,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,-35,-23
20,e4,0.13793103448275862,1528,1559,180+0,0-1,rnbqkbnr/pp2pppp/3p4/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,-9,+96
24,Nf3,0.1724137931034483,1505,1709,180+5,0-1,r1bqkbnr/ppp1pppp/2n5/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3,-42,+7
30,d4,0.1724137931034483,1495,1505,300+0,0-1,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-13,+136
26,e4,0.1724137931034483,1455,1687,300+3,0-1,rnbqkbnr/1ppp1ppp/p3p3/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,-35,+10
40,g3,0.10344827586206896,1868,1773,840+8,0-1,rnbqkbnr/pp1p1ppp/2p5/4p3/8/4P1P1/PPPPNP1P/RNBQKB1R b KQkq - 1 3,+69,+58
11,e3,0.25,1034,1426,420+0,0-1,rnbqkbnr/pppp1ppp/8/8/3Q4/4P3/PPP2PPP/RNB1KBNR b KQkq - 0 3,+36,-66
19,b3,0.3793103448275862,1575,1508,420+0,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq - 0 3,+13,+545
19,e4,0.3448275862068966,1964,2041,0+1,1-0,rnbqkbnr/ppp2ppp/4p3/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,-24,-28
39,e4,0.3448275862068966,2086,2142,180+0,0-1,rnb1kbnr/ppp1pppp/8/3q4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-20,+44
45,e4,0.3448275862068966,1677,1378,180+7,1-0,rnbqkbnr/ppp1pppp/8/6N1/4p3/8/PPPP1PPP/RNBQKB1R b KQkq - 1 3,+75,+103
24,e4,0.13793103448275862,1491,1536,300+0,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-33,+31
29,d4,0.3103448275862069,1503,1532,300+3,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-28,+77
38,e4,0.20689655172413793,2081,1849,60+0,1-0,rnbqkbnr/ppp2ppp/3Pp3/8/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 3,+34,-97
30,e4,0.20689655172413793,1542,1423,60+1,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-30,+77
65,d4,0.20689655172413793,2107,2248,180+0,0-1,rnbqkb1r/pppppp1p/5np1/8/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3,-9,+24
31,e4,0.20689655172413793,1457,1537,120+1,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-29,+98
34,c4,0.10344827586206896,2081,1926,180+0,0-1,rnbqk1nr/ppppppbp/6p1/8/2P5/4P3/PPQP1PPP/RNB1KBNR b KQkq - 0 3,+50,+3
16,e4,0.13793103448275862,1934,1566,120+1,1-0,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,-35,+126
22,d4,0.1724137931034483,1089,1372,180+2,0-1,rnbqkbnr/pp1p1ppp/4p3/2p5/3P1P2/4P3/PPP3PP/RNBQKBNR b KQkq - 0 3,+26,+83
28,c4,0.3103448275862069,1792,1901,180+0,0-1,rnbqkbnr/p1pp1ppp/1p2p3/8/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3,-66,+35
52,e4,0.27586206896551724,1692,1749,300+8,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-26,+24
29,e4,0.3103448275862069,1298,1312,360+0,1-0,rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,-50,+79
29,c4,0.13793103448275862,1508,1520,300+4,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq - 2 3,-23,+15
34,d4,0.13793103448275862,1720,1693,300+0,0-1,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,-29,+59
25,d4,0.20689655172413793,1563,1635,180+0,1-0,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/P7/1P2PPPP/RNBQKBNR b KQkq - 0 3,+3,+27
29,e4,0.27586206896551724,1433,1507,600+0,1-0,rnbqkbnr/ppp1pp1p/3p2p1/8/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 1 3,+16,-105
29,e4,0.27586206896551724,1598,1614,60+0,0-1,rnbqkbnr/pppp2pp/8/4pP2/8/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 3,-100,+96
46,e4,0.1724137931034483,1302,1385,600+0,0-1,rnbqk1nr/pppp1ppp/3b4/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR b KQkq - 3 3,-34,+82
53,e4,0.27586206896551724,1747,1695,180+0,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-34,+39
29,c4,0.27586206896551724,2111,2037,60+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/2P5/2NP4/PP2PPPP/R1BQKBNR b KQkq - 0 3,+4,+70
24,e4,0.1724137931034483,1567,1681,300+2,1-0,rnbqkbnr/pp2pppp/8/2ppP3/5P2/8/PPPP2PP/RNBQKBNR b KQkq - 0 3,+49,+28
48,b3,0.3103448275862069,1885,1801,60+0,1-0,rnbqkbnr/ppp2ppp/3p4/4p3/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq - 0 3,-4,+115
44,d4,0.27586206896551724,1694,1640,120+2,1/2-1/2,rnbqkbnr/1p1ppppp/p1p5/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-54,+94
41,e4,0.13793103448275862,1699,1854,180+0,0-1,rnbqkbnr/pp2pppp/2p5/3P4/2B5/8/PPPP1PPP/RNBQK1NR b KQkq - 0 3,+44,-108
40,d4,0.06896551724137931,1620,1569,180+2,1-0,rnbqkbnr/pp1p1ppp/2p1p3/8/2PP4/P7/1P2PPPP/RNBQKBNR b KQkq - 0 3,-14,+79
73,e4,0.13793103448275862,1397,1580,300+0,1/2-1/2,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/5P2/PPP3PP/RNBQKBNR b KQkq - 0 3,-42,-15
34,e4,0.2413793103448276,1384,1517,540+0,1-0,rnbqkbnr/ppp2ppp/3p4/4P3/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-49,+208
35,d4,0.20689655172413793,1723,1681,120+0,0-1,rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,-30,+103
8,e4,0.07692307692307693,1977,2041,0+1,1-0,rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-32,e1
46,d4,0.2413793103448276,1544,1554,600+0,1-0,rnbqkb1r/pppp1ppp/4pn2/6B1/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,-26,-15
17,d4,0.2413793103448276,1736,2169,60+0,0-1,rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,+13,+34
29,e4,0.13793103448275862,1571,1612,600+0,1-0,rnbqkbnr/pp2pppp/3p4/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,-21,+148
25,e4,0.13793103448275862,1653,1567,60+0,0-1,rn1qkbnr/pbpppppp/1p6/8/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 3 3,+39,+48
22,e4,0.20689655172413793,1437,1433,300+0,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,+11,-133
40,e4,0.1724137931034483,1336,1328,300+2,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-11,-3
30,e4,0.2413793103448276,1650,2027,120+0,0-1,rnbqkbnr/ppp2ppp/4p3/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,-15,+2
28,e4,0.13793103448275862,1663,1378,120+2,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 2 3,-2,+23
63,e4,0.0,1614,1471,300+8,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,-21,+161
19,e4,0.3103448275862069,1509,1721,60+2,0-1,rnbqkbnr/1p1ppppp/p7/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,-52,+117
56,e4,0.27586206896551724,1391,1184,600+0,1-0,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N1P/PPPP1PP1/RNBQKB1R b KQkq - 0 3,-24,+117
27,e4,0.20689655172413793,1585,1591,180+3,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/2P5/PP1P1PPP/RNBQK1NR b KQkq - 0 3,+24,-71
46,e4,0.20689655172413793,1645,1574,60+0,0-1,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-14,+13
48,h3,0.13793103448275862,2154,2086,60+0,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/3P1B2/7P/PPP1PPP1/RN1QKBNR b KQkq - 1 3,-2,+14
35,a4,0.13793103448275862,1682,1507,120+0,0-1,rnbqkb1r/pppppp1p/P4np1/8/8/8/1PPPPPPP/RNBQKBNR b KQkq - 0 3,+89,-175
35,e4,0.1724137931034483,2014,2083,60+0,1-0,rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-26,+27
55,c4,0.06896551724137931,1940,2004,60+0,0-1,rnbqkbnr/ppp2ppp/3p4/4p3/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq - 0 3,-12,+175
34,Nf3,0.2413793103448276,2097,2045,180+0,0-1,rnbqkbnr/pppp2pp/4p3/5p2/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3,-52,+71
41,b3,0.0,2181,2165,180+0,1-0,rnbqkbnr/pppp2pp/5p2/4p3/8/1P4P1/PBPPPP1P/RN1QKBNR b KQkq - 0 3,+25,+86
50,d4,0.3448275862068966,1861,1733,60+0,1-0,rn1qkbnr/pbpppppp/1p6/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 2 3,-47,+63
43,d4,0.1724137931034483,1864,1823,900+0,0-1,rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-39,+54
18,f4,0.1724137931034483,1658,1284,420+0,1-0,r1bqkbnr/ppp1pppp/2n5/3p4/3P1P2/2P5/PP2P1PP/RNBQKBNR b KQkq - 0 3,+49,+64
45,e3,0.27586206896551724,1256,1385,300+0,0-1,rnbqk1nr/pppp1ppp/8/4p3/1b6/3PP3/PPPB1PPP/RN1QKBNR b KQkq - 2 3,-1,-48
33,d4,0.13793103448275862,1804,1512,180+0,1-0,r1bqkbnr/ppp1pppp/2n5/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 2 3,-66,+132
36,e4,0.27586206896551724,1647,1768,180+2,1-0,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2NP4/PPP2PPP/R1BQKBNR b KQkq - 2 3,+24,+109
21,e4,0.41379310344827586,1813,1311,60+0,1-0,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,-51,+1081
37,d4,0.2413793103448276,2106,1771,180+0,1-0,rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,-36,+48
25,b3,0.1724137931034483,1734,1688,180+0,1-0,rnbqkbnr/pp1p1ppp/4p3/2p5/8/1PN5/PBPPPPPP/R2QKBNR b KQkq - 1 3,+26,-1
50,e4,0.1724137931034483,1612,1543,300+3,0-1,r1bqkbnr/pppppp1p/2n3p1/8/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,-67,+67
40,d4,0.1724137931034483,1704,1399,600+0,1-0,rnbqkbnr/ppp1pppp/8/8/2pP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-1,+154
29,b4,0.06896551724137931,1373,1635,300+0,0-1,rnbqkbnr/ppp1p1pp/5p2/3p4/1P6/4P3/PBPP1PPP/RN1QKBNR b KQkq - 0 3,+1,-178
48,e4,0.3103448275862069,1621,1595,180+4,0-1,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-34,+615
30,e4,0.2413793103448276,1933,2070,180+2,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-26,+166
28,d4,0.2413793103448276,1423,1520,300+8,1-0,rnbqkbnr/pp1ppppp/8/8/3N4/8/PPP1PPPP/RNBQKB1R b KQkq - 0 3,+22,-445
42,e4,0.0,1721,1735,180+0,0-1,rnbqkbnr/ppp2ppp/3pp3/8/3PP3/1P6/P1P2PPP/RNBQKBNR b KQkq - 0 3,-37,+97
31,e4,0.13793103448275862,1900,1779,120+1,0-1,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,+37,+23
16,b3,0.3103448275862069,1635,1889,60+0,0-1,rnbqkbnr/pp2pppp/2p5/3p4/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq - 0 3,+15,-3
49,Nf3,0.27586206896551724,2058,1608,180+0,1-0,rnbqkb1r/ppp1pppp/5n2/3P4/8/5N2/PP1PPPPP/RNBQKB1R b KQkq - 0 3,-75,+94
54,e4,0.06896551724137931,1579,1493,60+1,0-1,rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-8,-22
28,Nf3,0.27586206896551724,1358,1461,300+0,0-1,rnbqkb1r/pppppp1p/5np1/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 0 3,-2,0
43,e4,0.13793103448275862,1656,1884,60+0,0-1,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,-41,+51
19,d4,0.27586206896551724,2488,1749,60+0,1-0,rn1qkbnr/pbpppppp/1p6/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,-53,+92
26,c4,0.3103448275862069,1722,1452,300+3,1-0,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq - 2 3,-12,+62
36,g3,0.20689655172413793,1215,1100,120+0,1-0,r1bqkbnr/p1pppppp/1pn5/8/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3,-72,+39
55,e4,0.20689655172413793,1620,1716,120+0,1-0,rnb1kbnr/ppp1pppp/8/3q4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-37,+32
